order_id,order_date,ship_date,region,country,customer_segment,product_category,product_subcategory,quantity,unit_price,discount,sales,profit,shipping_cost,order_priority
MRG-2023-13600,2023-01-02,2023-01-07,North America,Canada,Consumer,Home & Living,Bedding,1,104.66,0.3,73.26,-0.27,7.2,High
MRG-2023-10699,2023-01-02,2023-01-06,APAC,Singapore,Corporate,Apparel,Outerwear,5,100.52,0.3,351.82,-11.33,30.66,Medium
MRG-2023-14243,2023-01-02,2023-01-08,Europe,United Kingdom,Consumer,Electronics,Accessories,1,8.94,0.3,6.26,-0.35,13.72,Medium
MRG-2023-11891,2023-01-02,2023-01-07,Europe,Germany,Home Office,Home & Living,Decor,10,23.95,0.3,167.65,-6.36,67.56,Medium
MRG-2023-11509,2023-01-02,2023-01-07,Europe,France,Consumer,Electronics,Accessories,11,426.13,0.3,3281.2,-325.16,28.1,Medium
MRG-2023-12904,2023-01-02,2023-01-04,APAC,India,Consumer,Apparel,Outerwear,8,114.0,0.3,638.4,-95.76,49.4,Low
MRG-2023-10812,2023-01-02,2023-01-05,North America,Canada,Consumer,Apparel,Outerwear,3,286.57,0.0,859.71,185.59,16.64,High
MRG-2023-11476,2023-01-03,2023-01-09,North America,Mexico,Corporate,Electronics,Audio,11,372.64,0.0,4099.04,542.55,53.62,High
MRG-2023-10908,2023-01-03,2023-01-11,Europe,Spain,Consumer,Electronics,Smart Home,1,28.76,0.3,20.13,-1.94,9.87,High
MRG-2023-13105,2023-01-03,2023-01-10,North America,United States,Consumer,Home & Living,Bedding,9,49.9,0.0,449.1,50.06,48.91,Low
MRG-2023-12058,2023-01-03,2023-01-05,Europe,France,Consumer,Home & Living,Decor,8,437.09,0.0,3496.72,1080.07,18.26,Low
MRG-2023-14323,2023-01-04,2023-01-10,North America,Mexico,Consumer,Apparel,Activewear,1,398.59,0.0,398.59,105.47,18.48,Medium
MRG-2023-10451,2023-01-04,2023-01-09,Europe,Germany,Corporate,Electronics,Wearables,9,306.32,0.0,2756.88,1045.74,36.41,Medium
MRG-2023-10730,2023-01-04,2023-01-08,Europe,France,Home Office,Electronics,Accessories,6,82.9,0.15,422.79,80.65,37.48,High
MRG-2023-15201,2023-01-04,2023-01-11,Europe,United Kingdom,Consumer,Home & Living,Kitchenware,10,215.9,0.0,2159.0,470.34,15.87,Low
MRG-2023-10932,2023-01-04,2023-01-12,Europe,United Kingdom,Consumer,Apparel,Outerwear,2,444.09,0.15,754.95,140.05,24.11,Low
MRG-2023-11709,2023-01-04,2023-01-10,Europe,France,Consumer,Electronics,Accessories,5,202.81,0.0,1014.05,387.04,21.72,Low
MRG-2023-11001,2023-01-04,2023-01-07,Europe,United Kingdom,Consumer,Apparel,Activewear,7,109.72,0.05,729.64,171.13,20.98,Critical
MRG-2023-15142,2023-01-04,2023-01-08,North America,United States,Corporate,Apparel,Activewear,11,380.87,0.3,2932.7,-214.19,40.49,Low
MRG-2023-15543,2023-01-04,2023-01-10,APAC,Japan,Corporate,Apparel,Footwear,5,230.82,0.0,1154.1,276.86,18.43,Medium
MRG-2023-12331,2023-01-05,2023-01-11,North America,Mexico,Corporate,Home & Living,Bedding,8,17.91,0.0,143.28,54.42,27.9,Medium
MRG-2023-15251,2023-01-05,2023-01-11,North America,United States,Home Office,Home & Living,Furniture,1,284.25,0.0,284.25,82.3,11.95,High
MRG-2023-14650,2023-01-05,2023-01-09,North America,United States,Consumer,Electronics,Smart Home,2,31.19,0.0,62.38,13.4,9.51,Low
MRG-2023-15554,2023-01-06,2023-01-08,North America,Mexico,Home Office,Electronics,Audio,7,9.23,0.2,51.69,9.39,32.61,Medium
MRG-2023-10802,2023-01-06,2023-01-13,North America,Mexico,Home Office,Electronics,Accessories,9,180.52,0.3,1137.28,84.28,57.36,High
MRG-2023-15537,2023-01-06,2023-01-11,Europe,United Kingdom,Consumer,Home & Living,Bedding,9,130.77,0.05,1118.08,165.04,38.74,Medium
MRG-2023-11906,2023-01-06,2023-01-08,North America,Mexico,Corporate,Apparel,Footwear,6,16.42,0.05,93.59,10.6,35.25,High
MRG-2023-14348,2023-01-06,2023-01-11,North America,Canada,Consumer,Apparel,Accessories,3,390.87,0.0,1172.61,405.26,11.86,Medium
MRG-2023-15338,2023-01-06,2023-01-09,North America,United States,Consumer,Home & Living,Furniture,3,47.43,0.15,120.95,17.38,24.21,High
MRG-2023-11650,2023-01-06,2023-01-09,North America,United States,Consumer,Home & Living,Bedding,5,263.95,0.05,1253.76,33.1,20.48,Medium
MRG-2023-10751,2023-01-06,2023-01-07,North America,United States,Consumer,Home & Living,Furniture,3,149.17,0.0,447.51,84.71,19.33,Critical
MRG-2023-14513,2023-01-06,2023-01-09,APAC,Australia,Consumer,Home & Living,Furniture,10,156.16,0.0,1561.6,402.65,47.84,Medium
MRG-2023-13100,2023-01-06,2023-01-14,North America,Mexico,Consumer,Home & Living,Decor,10,81.82,0.15,695.47,177.69,52.31,Medium
MRG-2023-11638,2023-01-07,2023-01-15,North America,Canada,Corporate,Electronics,Smart Home,5,62.27,0.0,311.35,71.94,43.99,Medium
MRG-2023-13089,2023-01-07,2023-01-13,Europe,France,Consumer,Apparel,Outerwear,4,430.38,0.15,1463.29,120.89,24.19,High
MRG-2023-12179,2023-01-07,2023-01-15,North America,Canada,Consumer,Electronics,Audio,10,242.04,0.15,2057.34,252.25,66.13,Low
MRG-2023-13435,2023-01-08,2023-01-11,North America,Canada,Corporate,Electronics,Wearables,3,236.98,0.2,568.75,143.97,24.69,Low
MRG-2023-11096,2023-01-08,2023-01-10,Europe,United Kingdom,Home Office,Home & Living,Kitchenware,10,310.23,0.3,2171.61,-325.74,29.36,Low
MRG-2023-15772,2023-01-09,2023-01-13,APAC,Australia,Consumer,Apparel,Activewear,3,16.96,0.2,40.7,6.06,25.75,Medium
MRG-2023-13653,2023-01-09,2023-01-14,North America,Canada,Corporate,Electronics,Audio,9,392.88,0.15,3005.53,188.45,43.29,Critical
MRG-2023-11577,2023-01-09,2023-01-13,North America,United States,Consumer,Electronics,Smart Home,11,431.19,0.05,4505.94,250.61,38.79,Medium
MRG-2023-10746,2023-01-10,2023-01-15,Europe,United Kingdom,Consumer,Apparel,Footwear,10,167.97,0.05,1595.71,298.2,53.15,Low
MRG-2023-10926,2023-01-10,2023-01-15,Europe,United Kingdom,Corporate,Apparel,Footwear,4,126.5,0.2,404.8,70.57,17.82,Low
MRG-2023-10659,2023-01-10,2023-01-17,North America,United States,Consumer,Apparel,Accessories,5,174.81,0.1,786.64,7.64,29.32,High
MRG-2023-12037,2023-01-10,2023-01-14,North America,United States,Consumer,Apparel,Outerwear,8,414.97,0.0,3319.76,876.05,15.53,High
MRG-2023-14275,2023-01-10,2023-01-11,Europe,Germany,Home Office,Home & Living,Furniture,9,8.83,0.0,79.47,26.32,57.66,Low
MRG-2023-12826,2023-01-11,2023-01-18,Europe,Spain,Home Office,Home & Living,Bedding,7,365.41,0.1,2302.08,528.8,27.84,High
MRG-2023-14896,2023-01-11,2023-01-19,Europe,France,Consumer,Home & Living,Bedding,2,21.89,0.2,35.02,3.9,15.03,Critical
MRG-2023-12636,2023-01-11,2023-01-14,APAC,Australia,Consumer,Apparel,Outerwear,9,233.89,0.15,1789.26,31.88,20.6,High
MRG-2023-12137,2023-01-11,2023-01-14,North America,Mexico,Corporate,Apparel,Footwear,7,320.97,0.0,2246.79,732.42,51.02,Medium
MRG-2023-12962,2023-01-11,2023-01-18,North America,United States,Consumer,Electronics,Audio,7,374.21,0.0,2619.47,663.87,45.39,Medium
MRG-2023-14294,2023-01-11,2023-01-17,Europe,Spain,Corporate,Electronics,Wearables,9,241.26,0.0,2171.34,648.92,63.96,Low
MRG-2023-11749,2023-01-12,2023-01-15,Europe,United Kingdom,Consumer,Home & Living,Furniture,4,386.17,0.0,1544.68,299.26,30.64,Medium
MRG-2023-10421,2023-01-12,2023-01-16,North America,Mexico,Consumer,Home & Living,Decor,2,68.38,0.15,116.25,28.77,22.41,Low
MRG-2023-12066,2023-01-13,2023-01-20,Europe,Spain,Consumer,Electronics,Wearables,3,374.15,0.0,1122.45,194.36,22.49,Low
MRG-2023-11490,2023-01-13,2023-01-21,Europe,Spain,Consumer,Apparel,Outerwear,10,30.02,0.0,300.2,30.49,74.14,Low
MRG-2023-14806,2023-01-13,2023-01-18,North America,Mexico,Consumer,Apparel,Accessories,10,251.04,0.1,2259.36,138.28,66.15,Low
MRG-2023-14057,2023-01-13,2023-01-20,North America,Canada,Consumer,Electronics,Wearables,8,46.88,0.3,262.53,-38.39,13.77,High
MRG-2023-11387,2023-01-13,2023-01-15,North America,Mexico,Consumer,Home & Living,Kitchenware,3,295.79,0.15,754.26,66.09,24.66,High
MRG-2023-13704,2023-01-13,2023-01-15,North America,United States,Consumer,Apparel,Activewear,8,126.44,0.15,859.79,92.38,53.11,Medium
MRG-2023-10580,2023-01-13,2023-01-14,North America,Canada,Consumer,Home & Living,Kitchenware,2,200.57,0.3,280.8,-42.12,22.67,Medium
MRG-2023-13141,2023-01-13,2023-01-20,APAC,India,Consumer,Apparel,Footwear,1,370.57,0.15,314.98,44.2,15.9,Low
MRG-2023-15664,2023-01-14,2023-01-20,APAC,India,Corporate,Apparel,Footwear,5,139.69,0.0,698.45,273.72,29.86,Low
MRG-2023-14371,2023-01-14,2023-01-21,APAC,Australia,Consumer,Apparel,Footwear,2,326.44,0.3,457.02,55.17,11.34,Medium
MRG-2023-10726,2023-01-14,2023-01-19,APAC,Australia,Corporate,Home & Living,Bedding,6,359.88,0.0,2159.28,257.55,14.53,Low
MRG-2023-12193,2023-01-14,2023-01-17,Europe,Spain,Consumer,Home & Living,Kitchenware,3,165.17,0.3,346.86,-4.99,16.67,High
MRG-2023-11373,2023-01-15,2023-01-23,Europe,Germany,Consumer,Electronics,Smart Home,9,27.9,0.15,213.44,52.99,65.43,Medium
MRG-2023-11655,2023-01-15,2023-01-21,APAC,Australia,Consumer,Electronics,Accessories,4,348.67,0.1,1255.21,250.65,27.43,Low
MRG-2023-14140,2023-01-15,2023-01-16,APAC,India,Consumer,Apparel,Outerwear,9,39.4,0.1,319.14,34.92,49.06,Low
MRG-2023-10970,2023-01-15,2023-01-22,APAC,Australia,Consumer,Apparel,Activewear,3,326.03,0.0,978.09,388.0,14.58,Low
MRG-2023-15356,2023-01-16,2023-01-24,Europe,United Kingdom,Consumer,Electronics,Audio,4,120.53,0.15,409.8,25.69,25.35,Medium
MRG-2023-10790,2023-01-16,2023-01-24,North America,United States,Consumer,Home & Living,Bedding,8,247.35,0.05,1879.86,231.04,41.76,Medium
MRG-2023-12071,2023-01-16,2023-01-23,North America,Mexico,Consumer,Home & Living,Bedding,7,27.94,0.0,195.58,76.36,38.52,Medium
MRG-2023-15476,2023-01-16,2023-01-23,North America,United States,Corporate,Apparel,Footwear,4,106.03,0.3,296.88,-7.27,36.39,Medium
MRG-2023-11782,2023-01-16,2023-01-22,North America,Mexico,Home Office,Apparel,Activewear,3,123.08,0.2,295.39,-3.13,31.23,Medium
MRG-2023-12843,2023-01-17,2023-01-23,Europe,Spain,Corporate,Electronics,Audio,7,229.64,0.05,1527.11,351.37,39.0,Low
MRG-2023-15721,2023-01-17,2023-01-25,North America,Mexico,Consumer,Home & Living,Bedding,4,357.14,0.0,1428.56,360.29,22.9,High
MRG-2023-12546,2023-01-17,2023-01-25,North America,Canada,Consumer,Apparel,Footwear,7,324.52,0.0,2271.64,696.9,33.7,Medium
MRG-2023-13005,2023-01-17,2023-01-24,North America,United States,Corporate,Electronics,Smart Home,8,135.38,0.0,1083.04,380.66,27.73,Medium
MRG-2023-11153,2023-01-18,2023-01-20,North America,Canada,Consumer,Apparel,Activewear,2,287.76,0.1,517.97,76.39,16.42,Low
MRG-2023-14846,2023-01-18,2023-01-26,Europe,Spain,Corporate,Apparel,Outerwear,3,278.58,0.0,835.74,299.78,22.82,High
MRG-2023-12130,2023-01-18,2023-01-21,North America,Mexico,Consumer,Home & Living,Furniture,8,236.82,0.1,1705.1,574.9,60.09,Low
MRG-2023-14599,2023-01-18,2023-01-24,North America,United States,Consumer,Home & Living,Decor,8,82.94,0.0,663.52,227.37,52.64,Medium
MRG-2023-13343,2023-01-18,2023-01-26,North America,Canada,Consumer,Home & Living,Bedding,7,87.34,0.0,611.38,80.56,11.38,High
MRG-2023-15339,2023-01-18,2023-01-21,APAC,India,Consumer,Electronics,Accessories,11,289.24,0.0,3181.64,967.87,25.68,Medium
MRG-2023-12097,2023-01-18,2023-01-22,North America,Mexico,Corporate,Electronics,Accessories,2,108.96,0.0,217.92,86.5,9.54,Low
MRG-2023-15776,2023-01-18,2023-01-24,Europe,United Kingdom,Corporate,Electronics,Wearables,11,161.63,0.0,1777.93,246.12,15.61,Low
MRG-2023-10417,2023-01-19,2023-01-26,North America,Canada,Corporate,Home & Living,Kitchenware,2,28.36,0.0,56.72,13.46,17.23,Medium
MRG-2023-13717,2023-01-20,2023-01-25,North America,Mexico,Consumer,Electronics,Audio,4,193.69,0.05,736.02,240.9,33.74,High
MRG-2023-12762,2023-01-20,2023-01-23,APAC,India,Consumer,Apparel,Accessories,6,199.04,0.0,1194.24,104.41,27.42,Medium
MRG-2023-15296,2023-01-20,2023-01-21,Europe,Germany,Corporate,Electronics,Smart Home,9,189.56,0.0,1706.04,387.33,42.83,Low
MRG-2023-14280,2023-01-20,2023-01-22,North America,Mexico,Home Office,Apparel,Activewear,7,141.5,0.0,990.5,327.3,35.57,High
MRG-2023-14261,2023-01-20,2023-01-23,APAC,Singapore,Consumer,Electronics,Audio,9,377.94,0.15,2891.24,812.84,13.51,High
MRG-2023-10018,2023-01-20,2023-01-24,North America,Mexico,Corporate,Apparel,Accessories,3,363.42,0.0,1090.26,361.15,18.57,Medium
MRG-2023-12663,2023-01-20,2023-01-26,Europe,Spain,Consumer,Apparel,Accessories,7,443.61,0.2,2484.22,309.82,30.13,Medium
MRG-2023-15805,2023-01-20,2023-01-28,North America,United States,Corporate,Electronics,Audio,5,215.01,0.3,752.53,47.13,25.38,Critical
MRG-2023-15794,2023-01-20,2023-01-25,Europe,Germany,Consumer,Apparel,Outerwear,9,69.45,0.0,625.05,147.71,27.4,High
MRG-2023-10880,2023-01-20,2023-01-22,North America,United States,Consumer,Apparel,Outerwear,4,12.87,0.0,51.48,6.29,26.64,Low
MRG-2023-13833,2023-01-21,2023-01-24,North America,Canada,Home Office,Apparel,Outerwear,8,241.68,0.3,1353.41,73.19,18.73,Low
MRG-2023-11504,2023-01-21,2023-01-28,North America,Canada,Consumer,Apparel,Footwear,5,237.99,0.15,1011.46,210.57,27.51,Low
MRG-2023-10453,2023-01-22,2023-01-30,North America,Mexico,Home Office,Apparel,Outerwear,7,173.8,0.05,1155.77,66.6,13.83,Medium
MRG-2023-15547,2023-01-22,2023-01-30,North America,Mexico,Consumer,Electronics,Wearables,7,432.3,0.2,2420.88,530.3,41.12,Medium
MRG-2023-14635,2023-01-22,2023-01-26,APAC,Japan,Consumer,Electronics,Wearables,7,67.04,0.3,328.5,-12.33,18.33,Low
MRG-2023-12136,2023-01-23,2023-01-27,North America,Canada,Corporate,Electronics,Smart Home,9,285.09,0.0,2565.81,1034.51,22.24,Low
MRG-2023-12814,2023-01-23,2023-01-29,Europe,Spain,Consumer,Apparel,Activewear,10,13.38,0.05,127.11,6.67,34.4,Low
MRG-2023-11336,2023-01-23,2023-01-28,APAC,Singapore,Consumer,Electronics,Accessories,4,394.9,0.05,1500.62,545.69,26.34,Low
MRG-2023-11745,2023-01-23,2023-01-25,North America,Canada,Home Office,Apparel,Activewear,6,75.53,0.0,453.18,188.35,29.47,Low
MRG-2023-10525,2023-01-23,2023-01-27,North America,Mexico,Consumer,Home & Living,Decor,10,241.68,0.3,1691.76,-34.63,18.94,High
MRG-2023-10644,2023-01-23,2023-01-26,Europe,Spain,Consumer,Electronics,Smart Home,9,50.06,0.0,450.54,136.87,31.18,High
MRG-2023-13057,2023-01-23,2023-01-29,North America,Canada,Home Office,Apparel,Outerwear,11,282.48,0.2,2485.82,-237.92,48.8,Low
MRG-2023-10165,2023-01-24,2023-01-29,North America,United States,Consumer,Apparel,Activewear,2,276.1,0.0,552.2,127.67,14.85,High
MRG-2023-11429,2023-01-24,2023-01-28,North America,United States,Home Office,Electronics,Audio,7,138.2,0.05,919.03,325.63,43.15,Medium
MRG-2023-14142,2023-01-24,2023-02-01,Europe,France,Consumer,Apparel,Footwear,5,35.71,0.05,169.62,20.95,12.31,Medium
MRG-2023-12698,2023-01-25,2023-01-31,North America,Canada,Home Office,Home & Living,Kitchenware,10,436.53,0.0,4365.3,590.25,21.24,High
MRG-2023-10016,2023-01-25,2023-01-29,Europe,Spain,Consumer,Home & Living,Decor,3,422.07,0.3,886.35,-132.95,9.35,Medium
MRG-2023-11498,2023-01-25,2023-01-28,APAC,Singapore,Consumer,Home & Living,Bedding,10,337.39,0.2,2699.12,-258.77,43.57,High
MRG-2023-15949,2023-01-25,2023-01-31,APAC,India,Corporate,Electronics,Audio,3,219.37,0.15,559.39,141.59,14.31,Medium
MRG-2023-14735,2023-01-25,2023-02-02,North America,United States,Home Office,Home & Living,Decor,10,337.71,0.05,3208.24,1062.47,75.13,Low
MRG-2023-14839,2023-01-26,2023-02-03,North America,Mexico,Home Office,Home & Living,Furniture,8,226.61,0.2,1450.3,292.98,62.4,Low
MRG-2023-12364,2023-01-26,2023-02-02,Europe,France,Consumer,Electronics,Wearables,8,318.99,0.0,2551.92,423.34,37.07,Low
MRG-2023-11651,2023-01-26,2023-01-28,North America,Mexico,Consumer,Home & Living,Bedding,4,366.14,0.1,1318.1,142.55,21.97,Medium
MRG-2023-11014,2023-01-27,2023-02-03,North America,Canada,Corporate,Electronics,Wearables,8,400.94,0.0,3207.52,986.75,43.67,Medium
MRG-2023-12047,2023-01-27,2023-02-03,North America,Mexico,Home Office,Electronics,Audio,3,308.98,0.0,926.94,264.66,19.47,Medium
MRG-2023-10847,2023-01-27,2023-02-02,North America,United States,Corporate,Home & Living,Bedding,3,403.25,0.15,1028.29,283.74,32.35,High
MRG-2023-14143,2023-01-27,2023-01-28,Europe,United Kingdom,Corporate,Electronics,Audio,1,421.75,0.0,421.75,134.29,11.01,Low
MRG-2023-13838,2023-01-27,2023-01-31,APAC,Japan,Consumer,Apparel,Footwear,2,226.35,0.1,407.43,89.01,9.47,High
MRG-2023-15955,2023-01-28,2023-01-30,North America,Mexico,Consumer,Electronics,Accessories,6,122.24,0.0,733.44,197.26,27.79,Medium
MRG-2023-12816,2023-01-28,2023-02-05,North America,Mexico,Corporate,Home & Living,Decor,1,174.43,0.0,174.43,63.88,14.97,Low
MRG-2023-14930,2023-01-29,2023-02-03,APAC,Japan,Home Office,Apparel,Outerwear,8,290.05,0.2,1856.32,469.58,60.0,Low
MRG-2023-15968,2023-01-29,2023-02-02,APAC,India,Consumer,Apparel,Accessories,3,163.78,0.05,466.77,50.99,21.9,Low
MRG-2023-15773,2023-01-29,2023-02-03,APAC,Japan,Consumer,Electronics,Wearables,5,96.28,0.0,481.4,141.71,21.23,Critical
MRG-2023-11303,2023-01-29,2023-02-01,APAC,Singapore,Consumer,Electronics,Audio,8,72.9,0.3,408.24,-33.11,54.9,High
MRG-2023-11403,2023-01-30,2023-02-01,Europe,United Kingdom,Consumer,Electronics,Smart Home,10,169.67,0.1,1527.03,42.91,53.83,High
MRG-2023-12420,2023-01-30,2023-02-03,Europe,Spain,Corporate,Apparel,Activewear,2,431.66,0.05,820.15,140.18,23.13,Medium
MRG-2023-12558,2023-01-30,2023-02-04,North America,Mexico,Consumer,Electronics,Accessories,6,363.78,0.0,2182.68,187.39,49.22,Medium
MRG-2023-11163,2023-01-30,2023-02-05,APAC,India,Corporate,Apparel,Activewear,2,207.27,0.0,414.54,64.38,16.72,High
MRG-2023-12884,2023-01-30,2023-02-06,Europe,Germany,Home Office,Home & Living,Kitchenware,1,109.56,0.2,87.65,1.77,13.71,High
MRG-2023-13136,2023-01-30,2023-01-31,Europe,United Kingdom,Consumer,Electronics,Wearables,4,184.48,0.1,664.13,181.56,19.2,Critical
MRG-2023-14436,2023-01-31,2023-02-04,North America,United States,Consumer,Apparel,Footwear,1,249.9,0.05,237.41,10.55,7.77,Critical
MRG-2023-15090,2023-01-31,2023-02-05,North America,Mexico,Corporate,Home & Living,Decor,3,239.54,0.05,682.69,89.11,14.48,Medium
MRG-2023-12517,2023-01-31,2023-02-07,North America,Canada,Corporate,Home & Living,Furniture,8,203.34,0.05,1545.38,196.3,20.3,Medium
MRG-2023-13323,2023-01-31,2023-02-02,North America,Canada,Consumer,Home & Living,Kitchenware,3,281.08,0.3,590.27,-8.6,19.79,Medium
MRG-2023-14991,2023-02-01,2023-02-07,North America,Mexico,Corporate,Electronics,Wearables,6,303.38,0.15,1547.24,156.22,37.66,High
MRG-2023-12934,2023-02-01,2023-02-02,North America,United States,Consumer,Home & Living,Bedding,11,159.02,0.3,1224.45,111.03,27.84,Medium
MRG-2023-12495,2023-02-01,2023-02-07,North America,Canada,Consumer,Electronics,Accessories,7,64.1,0.0,448.7,66.04,32.27,High
MRG-2023-12411,2023-02-01,2023-02-02,North America,United States,Corporate,Electronics,Audio,2,144.78,0.0,289.56,112.75,16.09,High
MRG-2023-13399,2023-02-01,2023-02-07,Europe,France,Consumer,Home & Living,Decor,7,127.0,0.0,889.0,189.25,55.67,High
MRG-2023-11570,2023-02-02,2023-02-04,North America,United States,Home Office,Electronics,Wearables,9,11.27,0.2,81.14,1.0,48.8,High
MRG-2023-13461,2023-02-02,2023-02-07,North America,Canada,Consumer,Apparel,Accessories,10,403.45,0.2,3227.6,967.86,59.87,Medium
MRG-2023-10236,2023-02-02,2023-02-06,North America,Mexico,Home Office,Apparel,Accessories,7,234.43,0.3,1148.71,-40.64,23.93,Low
MRG-2023-10317,2023-02-03,2023-02-05,North America,United States,Home Office,Home & Living,Decor,11,144.69,0.0,1591.59,237.26,18.06,Low
MRG-2023-11845,2023-02-04,2023-02-05,Europe,United Kingdom,Consumer,Home & Living,Decor,3,369.44,0.3,775.82,-116.37,9.38,Low
MRG-2023-14406,2023-02-04,2023-02-11,APAC,India,Home Office,Electronics,Audio,9,237.13,0.0,2134.17,249.75,49.61,Medium
MRG-2023-11894,2023-02-04,2023-02-11,Europe,Germany,Corporate,Electronics,Accessories,3,210.37,0.3,441.78,60.18,22.77,High
MRG-2023-12177,2023-02-05,2023-02-07,North America,Canada,Consumer,Electronics,Wearables,8,296.29,0.0,2370.32,481.88,54.57,Low
MRG-2023-15923,2023-02-05,2023-02-09,North America,United States,Corporate,Electronics,Smart Home,10,380.56,0.0,3805.6,680.06,10.51,Low
MRG-2023-11085,2023-02-05,2023-02-12,APAC,Japan,Corporate,Home & Living,Decor,9,266.3,0.2,1917.36,339.31,43.09,Low
MRG-2023-12305,2023-02-05,2023-02-12,Europe,Spain,Consumer,Electronics,Accessories,10,409.3,0.05,3888.35,320.97,33.88,Medium
MRG-2023-12744,2023-02-05,2023-02-13,North America,Mexico,Consumer,Apparel,Accessories,10,266.68,0.2,2133.44,146.89,18.14,Medium
MRG-2023-14648,2023-02-05,2023-02-08,North America,Mexico,Consumer,Electronics,Smart Home,3,126.56,0.1,341.71,41.61,16.13,High
MRG-2023-13557,2023-02-06,2023-02-10,APAC,Australia,Corporate,Home & Living,Decor,3,415.4,0.0,1246.2,112.17,8.83,Low
MRG-2023-14679,2023-02-06,2023-02-12,North America,Canada,Corporate,Home & Living,Decor,8,99.75,0.3,558.6,-38.17,12.92,Critical
MRG-2023-14281,2023-02-06,2023-02-14,North America,Canada,Consumer,Home & Living,Furniture,6,57.49,0.1,310.45,20.23,27.72,Low
MRG-2023-14129,2023-02-07,2023-02-10,APAC,Australia,Consumer,Apparel,Accessories,7,301.89,0.0,2113.23,717.05,43.33,High
MRG-2023-11673,2023-02-07,2023-02-13,Europe,France,Corporate,Electronics,Audio,4,17.47,0.0,69.88,18.18,13.26,Medium
MRG-2023-13996,2023-02-07,2023-02-08,APAC,Singapore,Consumer,Home & Living,Decor,9,162.05,0.05,1385.53,136.37,45.7,Low
MRG-2023-12083,2023-02-07,2023-02-12,North America,Mexico,Corporate,Home & Living,Decor,8,226.93,0.0,1815.44,543.27,44.43,Low
MRG-2023-15542,2023-02-08,2023-02-13,North America,Canada,Consumer,Home & Living,Decor,2,151.42,0.1,272.56,15.6,14.63,Low
MRG-2023-11202,2023-02-08,2023-02-11,North America,Mexico,Consumer,Electronics,Smart Home,5,11.99,0.3,41.96,-6.1,39.54,Medium
MRG-2023-12275,2023-02-08,2023-02-16,APAC,Japan,Home Office,Electronics,Accessories,2,333.65,0.2,533.84,5.63,24.39,Medium
MRG-2023-10174,2023-02-08,2023-02-14,APAC,Japan,Consumer,Apparel,Accessories,6,70.6,0.0,423.6,132.91,18.42,High
MRG-2023-13539,2023-02-08,2023-02-14,Europe,Spain,Consumer,Home & Living,Furniture,2,422.07,0.15,717.52,-27.81,20.93,Low
MRG-2023-13238,2023-02-09,2023-02-12,Europe,United Kingdom,Consumer,Electronics,Smart Home,8,200.72,0.3,1124.03,140.41,12.53,Low
MRG-2023-13591,2023-02-09,2023-02-17,APAC,Japan,Consumer,Electronics,Smart Home,7,402.61,0.2,2254.62,133.8,36.31,Medium
